tag,general,teen,mature,explicit,notrated
tomarry - freeform,0,55,27,9,9
anxiety attacks,13,53,20,7,7
attempted sexual assault,0,30,40,20,10
modern era,17,33,17,8,25
modern marauders,29,21,21,14,14
mistaken identity,25,42,8,25,0
sassy harry potter,0,42,33,17,8
cussing,0,50,0,25,25
implied sexual content,2,40,44,4,10
epistolary,25,33,38,4,0
songfic,29,40,12,9,10
minor hermione granger/ron weasley,7,38,14,36,5
dysfunctional family,11,41,26,11,11
evil dumbledore,7,20,33,33,7
hogwarts sixth year,20,42,13,15,10
bamf ginny weasley,14,50,14,14,7
dumbledore's army,23,15,23,23,15
originally posted on fanfiction.net,25,40,30,5,0
daily prophet,30,40,30,0,0
mentor severus snape,22,27,30,14,8
hogwarts inter-house friendships,27,36,9,9,18
dreams and nightmares,15,38,31,15,0
bisexual character,16,37,32,16,0
family feels,42,36,11,4,7
post-first war with voldemort,17,28,28,6,22
self-indulgent,30,25,20,5,20
some plot,9,18,9,45,18
dom/sub undertones,0,9,21,68,3
alternate universe - magic,12,29,29,29,0
guilt,20,27,10,27,17
gore,0,12,50,38,0
implied/referenced alcohol abuse/alcoholism,0,47,37,5,11
past relationship,9,42,22,20,7
muggle/wizard relations,28,31,28,6,6
alternate universe - student/teacher,0,20,20,60,0
begging,0,0,29,67,4
shameless smut,2,2,22,69,5
friends with benefits,0,16,26,55,3
bisexual male character,0,44,22,33,0
the golden trio,12,46,25,0,17
lgbtq themes,29,21,11,29,11
harry potter is a good friend,27,27,0,27,18
nightmares,20,27,24,18,11
how do i tag,28,37,12,5,19
i will go down with this ship,29,41,0,12,18
fluff and hurt/comfort,18,45,14,0,23
dorks in love,60,25,10,5,0
alternate universe - modern with magic,7,47,33,13,0
crossdressing,6,19,39,32,3
severus snape bashing,30,30,10,0,30
awkwardness,27,41,23,5,5
wandless magic,11,26,33,22,7
love/hate,15,35,31,19,0
arguing,21,17,46,8,8
loss of parent,40,47,13,0,0
references to depression,10,29,31,21,10
emotional hurt,21,24,31,7,17
extremely dubious consent,0,0,7,80,13
flirting,12,47,18,19,3
alpha/beta/omega dynamics,1,11,36,42,9
immortality,8,42,17,17,17
secret identity,28,39,22,11,0
hate to love,0,25,25,50,0
fix-it of sorts,24,67,5,0,5
potions accident,24,10,29,33,5
angst and fluff and smut,4,4,32,50,11
teenage drama,20,60,0,0,20
werewolf remus lupin,19,23,38,8,12
male friendship,76,0,18,0,6
childhood friends,47,31,8,6,8
childhood memories,17,42,17,0,25
short one shot,39,31,10,6,14
short and sweet,29,39,6,13,13
summer vacation,25,42,8,8,17
blackmail,14,29,7,50,0
parent/child incest,0,0,12,76,12
revenge,21,26,32,16,5
dead dove: do not eat,0,7,7,73,13
post-harry potter and the deathly hallows,29,29,25,8,8
alternate universe - high school,18,59,18,0,6
texting,11,47,11,26,5
azkaban,12,41,33,2,12
party games,9,45,9,27,9
drinking games,0,33,33,33,0
smoking,9,26,22,35,9
bonding,11,32,5,42,11
loss,32,32,16,12,8
fantasy,5,60,25,10,0
adoption,16,36,32,4,12
recreational drug use,0,26,49,23,3
female friendship,7,33,27,13,20
drabble collection,33,28,14,9,16
romantic comedy,6,38,25,31,0
father-son relationship,21,39,11,13,16
good lucius malfoy,22,28,11,22,17
squibs,23,31,31,0,15
good petunia dursley,10,50,20,0,20
mild smut,0,10,70,15,5
explicit consent,0,0,7,86,7
alternate canon,8,58,17,8,8
plot what plot/porn without plot,0,0,11,88,1
tentacles,0,9,9,73,9
i guess,24,41,6,18,12
lust,0,8,33,58,0
curses,14,33,24,14,14
marriage,18,28,30,18,8
marriage law challenge,7,7,57,29,0
family secrets,10,52,24,14,0
psychological horror,0,9,55,27,9
pov ginny weasley,36,45,9,0,9
alternate universe - always a different sex,20,27,47,0,7
alternate universe - gender changes,17,33,20,20,10
getting back together,15,31,38,15,0
tumblr prompt,41,35,14,8,3
alternate universe - college/university,15,42,33,6,4
found family,25,50,7,11,7
lgbtq character,32,32,14,18,5
cunnilingus,0,0,6,91,2
nipple play,0,0,26,68,5
one night stands,0,20,20,60,0
comedy,28,26,21,21,5
multiple orgasms,0,0,3,97,0
true love,15,20,32,25,8
slow romance,7,24,41,21,7
community: hpft,9,39,39,9,3
podfic length: 10-20 minutes,77,0,23,0,0
good narcissa black malfoy,19,15,30,15,22
alternate hogwarts house sorting,40,50,10,0,0
team as family,0,80,0,0,20
dark harry,4,31,38,22,5
harry potter is a horcrux,12,25,38,8,17
bamf hermione granger,12,26,31,17,14
gryffindor/slytherin inter-house relationships,23,36,14,18,9
hogwarts founders era,70,30,0,0,0
blood magic,6,18,29,41,6
elemental magic,20,30,30,20,0
gay remus lupin,8,54,23,8,8
top remus lupin,0,10,30,40,20
light dom/sub,0,8,18,71,3
choking,6,0,6,89,0
department of mysteries,20,40,40,0,0
my first work in this fandom,10,30,30,20,10
some humor,25,17,17,25,17
kind of,12,41,9,16,22
bisexual sirius black,17,50,25,0,8
remus lupin needs a hug,38,38,15,0,8
minor james potter/lily evans potter,38,44,12,6,0
sirius black and james potter friendship,21,32,15,3,29
post-sirius black in azkaban,28,17,17,22,17
genderfluid character,18,18,36,27,0
room of requirement,10,29,10,43,10
underage - freeform,0,9,73,18,0
draco malfoy is bad at feeling,20,40,20,20,0
manipulation,6,20,34,37,3
dancing,24,35,16,11,14
london,21,50,7,21,0
slowburn,20,40,30,10,0
major character death - freeform,18,27,36,18,0
unforgivable curses,0,25,50,25,0
pranks,18,27,18,9,27
snogging,6,41,29,18,6
murder mystery,0,41,38,17,3
parenthood,65,12,12,6,6
father-daughter relationship,13,60,7,13,7
late night conversations,67,17,17,0,0
перевод на русский / translation in russian,25,39,14,14,7
diagon alley,64,21,0,0,14
wizarding wars,11,50,28,6,6
eventual relationships,10,48,19,14,10
creature harry potter,5,43,29,10,14
older man/younger woman,0,11,26,58,5
protectiveness,19,38,25,19,0
first dates,30,40,13,10,7
dating,50,30,10,10,0
getting to know each other,29,18,24,6,24
obsession,0,38,14,33,14
suicide,4,19,42,19,15
recovery,21,35,21,12,12
first kiss,27,38,9,14,12
bisexual female character,10,50,0,40,0
first love,40,37,3,17,3
dragons,22,25,25,18,10
veela mates,7,13,47,27,7
durmstrang,8,25,33,25,8
femslash,19,32,32,13,4
good bellatrix black lestrange,10,50,30,10,0
deepthroating,0,0,6,94,0
threesome,0,8,8,79,4
threesome - f/m/m,4,2,37,56,2
gryffindor vs. slytherin rivalry,33,39,22,0,6
co-workers,17,29,25,29,0
office sex,0,0,13,87,0
alternate universe - no voldemort,26,50,4,9,11
alternative universe,9,39,26,22,4
pwp,0,0,16,82,2
pre-canon,30,39,9,7,15
not actually unrequited love,0,44,28,17,11
major original character,18,18,27,27,9
demons,5,19,29,29,19
baby harry potter,46,23,15,0,15
hugs,20,47,7,13,13
forced orgasm,0,0,9,91,0
forced bonding,0,18,18,64,0
genderswap,6,31,12,44,6
中文翻译 / translation in chinese,16,37,5,42,0
